Disease,Description
Fungal infection,"A fungal infection occurs when a fungus invades the body, causing itching, redness, and discomfort."
Allergy,"Allergy is a hypersensitivity of the immune system causing itching, rash, and swelling."
GERD,"A digestive disorder affecting the lower esophageal sphincter causing burning sensation."
Chronic cholestasis,"Condition where bile cannot flow causing fatigue and abdominal pain."
Drug Reaction,"Adverse effects when medication triggers a negative reaction in the body."
Peptic ulcer diseae,"Sore in the stomach lining causing abdominal pain and acidity."
AIDS,"A disease caused by HIV leading to immune system failure."
Diabetes,"A metabolic disease causing high blood sugar."
Gastroenteritis,"Infection causing vomiting, diarrhea, and stomach pain."
Bronchial Asthma,"Chronic inflammation of airways causing breathing difficulty."
Hypertension,"High blood pressure leading to headaches and dizziness."
Migraine,"Severe headache often with nausea and sensitivity to light."
Cervical spondylosis,"Wear and tear of spinal disks in neck causing stiffness."
Paralysis (brain hemorrhage),"Loss of muscle function due to bleeding in the brain."
Jaundice,"Yellowing of skin due to liver problems."
Malaria,"Mosquito-borne infection causing fever and chills."
Chicken pox,"Viral infection causing red itchy spots."
Dengue,"Mosquito-borne virus causing high fever and rash."
Typhoid,"Bacterial infection causing prolonged fever."
Hepatitis A,"Liver infection caused by contaminated food or water."
Hepatitis B,"Liver infection caused by HBV virus."
Hepatitis C,"Liver infection leading to chronic liver damage."
Hepatitis E,"Liver disease spread by contaminated water."
Alcoholic hepatitis,"Inflammation of liver due to alcohol."
Tuberculosis,"Bacterial infection affecting lungs causing cough and fever."
Common Cold,"Viral infection causing sneezing and throat pain."
Pneumonia,"Lung infection causing cough, fever, and breathing difficulty."
Dimorphic hemmorhoids(piles),"Swollen veins in rectum causing pain and bleeding."
Heart attack,"Blockage of heart blood supply causing severe chest pain."
Varicose veins,"Enlarged veins usually in legs."
Hypothyroidism,"Underactive thyroid causing fatigue and weight gain."
Hyperthyroidism,"Overactive thyroid causing weight loss and restlessness."
Hypoglycemia,"Low blood sugar causing weakness and sweating."
Osteoarthritis,"Joint wear causing pain and stiffness."
Arthritis,"Joint inflammation causing pain and swelling."
(vertigo) Paroymsal Positional Vertigo,"Sudden dizziness caused by head movements."
Acne,"Skin condition causing pimples and oil buildup."
Urinary tract infection,"Infection in urinary system causing pain and burning."
Psoriasis,"Skin condition causing red scaly patches."
Impetigo,"Bacterial skin infection causing red sores."
Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Precaution_5,Precaution_6,Precaution_7,Precaution_8
Fungal infection,Keep the affected area dry and clean,Avoid tight or synthetic clothing,Use antifungal creams or powders,Do not scratch infected skin,Wash clothes and towels regularly,Avoid sharing personal items,Boost immunity with healthy diet,Consult a dermatologist if spreading
Allergy,Avoid exposure to known allergens,Take prescribed antihistamines,Use air purifiers to reduce dust,Keep bedding and room clean,Use cold compress for swelling,Carry emergency medication if severe,Avoid strong perfumes or smoke,Consult doctor for allergy testing
GERD,Eat small frequent meals,Avoid spicy and oily foods,Sleep with head elevated,Avoid lying down immediately after eating,Reduce caffeine and carbonated drinks,Maintain healthy weight,Quit smoking if applicable,Take antacids or PPIs if prescribed
Chronic cholestasis,Follow a low-fat balanced diet,Avoid alcohol and processed foods,Take liver-supporting medications,Stay hydrated,Monitor liver function regularly,Avoid medications harming liver,Rest and reduce physical stress,Consult hepatologist if symptoms worsen
Drug Reaction,Stop the suspected medication immediately,Consult a doctor or emergency care,Drink plenty of water to flush toxins,Avoid self-medication,Use soothing creams for rashes,Inform doctor about all medicines you take,Monitor for breathing difficulty,Get allergy testing if required
Peptic ulcer diseae,Avoid spicy, acidic, or fried foods,Reduce stress through relaxation techniques,Avoid NSAIDs and painkillers,Take antacids or ulcer medicines,Do not skip meals or overeat,Avoid alcohol and smoking,Drink plenty of water,Consult gastroenterologist if pain increases
AIDS,Take antiretroviral therapy (ART) regularly,Maintain good nutrition and hydration,Avoid sharing needles or sharp objects,Practice safe and protected sex,Monitor viral load and CD4 counts,Get vaccinated for preventable diseases,Avoid stress and get enough rest,Consult specialist regularly
Diabetes,Monitor blood sugar daily,Follow a balanced low-sugar diet,Exercise at least 30 minutes daily,Take insulin or medicines as prescribed,Avoid skipping meals,Check feet daily for wounds,Stay hydrated,Attend regular diabetes checkups
Gastroenteritis,Drink ORS to prevent dehydration,Avoid oily or spicy foods,Rest until vomiting/diarrhea stops,Wash hands frequently,Consume light foods like bananas rice or toast,Avoid milk and dairy temporarily,Do not take antibiotics without doctor advice,Seek help if dehydration increases
Bronchial Asthma,Use inhaler as prescribed,Avoid dust smoke and allergens,Do breathing exercises regularly,Keep inhaler with you always,Use air humidifier,Get flu vaccination annually,Avoid strong perfumes or chemicals,Visit doctor for asthma action plan
Hypertension,Reduce salt intake significantly,Exercise at least 5 days a week,Monitor blood pressure regularly,Avoid stress using meditation or yoga,Limit alcohol and caffeine,Maintain healthy weight,Avoid smoking completely,Take BP medicines daily
